Source IP,Destination IP,Source Port,Destination Port,Protocol,Packet Size
127.0.0.1,127.0.0.1,62197,8080,TCP,16
127.0.0.1,127.0.0.1,62198,8080,TCP,16
127.0.0.1,127.0.0.1,62199,8080,TCP,16
127.0.0.1,127.0.0.1,62200,8080,TCP,16
127.0.0.1,127.0.0.1,62201,8080,TCP,16
127.0.0.1,127.0.0.1,62202,8080,TCP,16
127.0.0.1,127.0.0.1,62203,8080,TCP,16
127.0.0.1,127.0.0.1,62204,8080,TCP,16
127.0.0.1,127.0.0.1,62205,8080,TCP,16
127.0.0.1,127.0.0.1,62206,8080,TCP,16
127.0.0.1,127.0.0.1,62207,8080,TCP,16
127.0.0.1,127.0.0.1,62208,8080,TCP,16
127.0.0.1,127.0.0.1,62210,8080,TCP,16
127.0.0.1,127.0.0.1,62211,8080,TCP,16
127.0.0.1,127.0.0.1,62212,8080,TCP,16
127.0.0.1,127.0.0.1,62213,8080,TCP,16
127.0.0.1,127.0.0.1,62214,8080,TCP,16
127.0.0.1,127.0.0.1,62215,8080,TCP,16
127.0.0.1,127.0.0.1,62216,8080,TCP,16
127.0.0.1,127.0.0.1,62217,8080,TCP,16
127.0.0.1,127.0.0.1,62218,8080,TCP,16
127.0.0.1,127.0.0.1,62219,8080,TCP,16
127.0.0.1,127.0.0.1,62220,8080,TCP,16
127.0.0.1,127.0.0.1,62221,8080,TCP,16
127.0.0.1,127.0.0.1,62222,8080,TCP,16
127.0.0.1,127.0.0.1,62223,8080,TCP,16
127.0.0.1,127.0.0.1,62224,8080,TCP,16
127.0.0.1,127.0.0.1,62225,8080,TCP,16
127.0.0.1,127.0.0.1,62226,8080,TCP,16
127.0.0.1,127.0.0.1,62227,8080,TCP,16
127.0.0.1,127.0.0.1,62228,8080,TCP,16
127.0.0.1,127.0.0.1,62229,8080,TCP,16
127.0.0.1,127.0.0.1,62230,8080,TCP,16
127.0.0.1,127.0.0.1,62231,8080,TCP,16
127.0.0.1,127.0.0.1,62232,8080,TCP,16
127.0.0.1,127.0.0.1,62233,8080,TCP,16
127.0.0.1,127.0.0.1,62234,8080,TCP,16
127.0.0.1,127.0.0.1,62235,8080,TCP,16
127.0.0.1,127.0.0.1,62236,8080,TCP,16
127.0.0.1,127.0.0.1,62237,8080,TCP,16
127.0.0.1,127.0.0.1,62238,8080,TCP,16
127.0.0.1,127.0.0.1,62239,8080,TCP,16
127.0.0.1,127.0.0.1,62240,8080,TCP,16
127.0.0.1,127.0.0.1,62241,8080,TCP,16
127.0.0.1,127.0.0.1,62242,8080,TCP,16
127.0.0.1,127.0.0.1,62243,8080,TCP,16
127.0.0.1,127.0.0.1,62244,8080,TCP,16
127.0.0.1,127.0.0.1,62245,8080,TCP,16
127.0.0.1,127.0.0.1,62246,8080,TCP,16
127.0.0.1,127.0.0.1,62247,8080,TCP,16
127.0.0.1,127.0.0.1,62248,8080,TCP,16
127.0.0.1,127.0.0.1,62249,8080,TCP,16
127.0.0.1,127.0.0.1,62250,8080,TCP,16
127.0.0.1,127.0.0.1,62251,8080,TCP,16
127.0.0.1,127.0.0.1,62252,8080,TCP,16
127.0.0.1,127.0.0.1,62253,8080,TCP,16
127.0.0.1,127.0.0.1,62254,8080,TCP,16
127.0.0.1,127.0.0.1,62255,8080,TCP,16
127.0.0.1,127.0.0.1,62256,8080,TCP,16
127.0.0.1,127.0.0.1,62257,8080,TCP,16
127.0.0.1,127.0.0.1,62258,8080,TCP,16
127.0.0.1,127.0.0.1,62259,8080,TCP,16
127.0.0.1,127.0.0.1,62260,8080,TCP,16
127.0.0.1,127.0.0.1,62261,8080,TCP,16
127.0.0.1,127.0.0.1,62262,8080,TCP,16
127.0.0.1,127.0.0.1,62263,8080,TCP,16
127.0.0.1,127.0.0.1,62264,8080,TCP,16
127.0.0.1,127.0.0.1,62265,8080,TCP,16
127.0.0.1,127.0.0.1,62266,8080,TCP,16
127.0.0.1,127.0.0.1,62267,8080,TCP,16
127.0.0.1,127.0.0.1,62268,8080,TCP,16
127.0.0.1,127.0.0.1,62269,8080,TCP,16
127.0.0.1,127.0.0.1,62270,8080,TCP,16
127.0.0.1,127.0.0.1,62271,8080,TCP,16
127.0.0.1,127.0.0.1,62272,8080,TCP,16
127.0.0.1,127.0.0.1,62273,8080,TCP,16
127.0.0.1,127.0.0.1,62274,8080,TCP,16
127.0.0.1,127.0.0.1,62275,8080,TCP,16
127.0.0.1,127.0.0.1,62276,8080,TCP,16
127.0.0.1,127.0.0.1,62277,8080,TCP,16
127.0.0.1,127.0.0.1,62278,8080,TCP,16
127.0.0.1,127.0.0.1,62279,8080,TCP,16
127.0.0.1,127.0.0.1,62280,8080,TCP,16
127.0.0.1,127.0.0.1,62281,8080,TCP,16
127.0.0.1,127.0.0.1,62282,8080,TCP,16
127.0.0.1,127.0.0.1,62283,8080,TCP,16
127.0.0.1,127.0.0.1,62284,8080,TCP,16
127.0.0.1,127.0.0.1,62285,8080,TCP,16
127.0.0.1,127.0.0.1,62286,8080,TCP,16
127.0.0.1,127.0.0.1,62287,8080,TCP,16
127.0.0.1,127.0.0.1,62288,8080,TCP,16
127.0.0.1,127.0.0.1,62289,8080,TCP,16
127.0.0.1,127.0.0.1,62290,8080,TCP,16
127.0.0.1,127.0.0.1,62291,8080,TCP,16
127.0.0.1,127.0.0.1,62292,8080,TCP,16
127.0.0.1,127.0.0.1,62293,8080,TCP,16
127.0.0.1,127.0.0.1,62294,8080,TCP,16
127.0.0.1,127.0.0.1,62295,8080,TCP,16
127.0.0.1,127.0.0.1,62296,8080,TCP,16
127.0.0.1,127.0.0.1,62297,8080,TCP,16
